MDID,SEDOL,ISIN,SecurityCode,CUSIP,Ticker,AssetType,AssetSubType,ShareClass,SecurityName,Price,AssetCurrency,CountryOfIssue,CountryOfIncorporation,HomeMemeberState,HomeMemeberStateDR,HomeMemeberStateSSR,MarketsListedIn,StockExchange,IndustryGroupId,TotalSharesOutstanding,TotalSharesIssued,TotalSharesTreasury,TotalVotingSharesIssued,TotalVotingSharesOutstanding,TotalVotingRightsIssued,TotalVotingRightsOutstanding,TotalDilutedShares,ClassSharesOutstanding,ClassSharesIssued,ClassSharesTreasury,ClassVotingSharesIssued,ClassVotingSharesOutstanding,ClassVotingRightsIssued,ClassVotingRightsOutstanding,VotesPerShare,ClassDebtOutstanding,TotalDebtOutstanding,TotalIssuedNominalCapital,RegisteredShareCapital,13FFlag,ShortSellFlag,TakeoverFlag,CallOrPut,ConvertibleFlag,ConversionRatioBond,ConversionRatioRights,ConversionRatioPreferredEquity,ConversionRatioWarrants,ContractSize,Delta,AssetRatioAgainst,AssetRatioFor,UnderlyingMDID,UnderlyingExchangeCode,UnderlyingISIN,UnderlyingSEDOL,IsCashSettled,MaturityDate,OptionNextExerciseDate,ExerciseStyle,ExpirationDate,Notional,ParValue,DurationAdjustment,InControlOfConversion,IsCoveredConvertible,IsCoveredWarrant,IsETF,IsGovernmentBacked,IsREIT,IsWhenIssued,IsConvertiblePreferred,LotSize,HasAlternateUSSection12Registration,IssuerID,IssuerName,RegistrationType,RegistrationNo,AddressLine1,AddressLine2,AddressLine3,Telephone,Fax,ContactName,Designation,ContactEmail,ContactNo,ContactFaxNo,TypeOfIssuer,StrikePrice,FIGINumber
CNE1000031W9 CN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0006047004 DE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000BASF111 DE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR0000120271 FR,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB0000456144 GB,,GB0000456144,,,FG1,Common Stock,ODSH,,Antofagasta PLC,,EUR,DE,GB,,,,,DBA,0,985856700,985856700,0,985856700,985856700,985856695,985856695,0,985857000,345867600,0,985857000,985857000,985857000,985857000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111100,Antofagasta PLC,,,,,,,,,,,,,,,
GB0007980591 GB,,GB0007980591,,,BPE5,Common Stock,ODSH,,BP PLC,,EUR,DE,GB,,,,,GER,0,16019570000,16019570000,0,16019570000,16019570000,16019568318,16019568318,0,16019570000,16026440000,0,16019570000,16019570000,16019570000,16019570000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100228,BP PLC,,,,,,,,,,,,,,,
GB00B1XZS820 GB,,GB00B1XZS820,,,NGLB,Common Stock,ODSH,,Anglo American PLC,,EUR,DE,GB,,,,,GER,0,1225278000,1225278000,0,1225278000,1225278000,1225277784,1225277784,0,1225278000,1218711000,0,1225278000,1225278000,1225278000,1225278000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833983,Anglo American PLC,,,,,,,,,,,,,,,
IE0001827041 IE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JE00B4T3BW64 CH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYG211501005 CN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYG3774X1088 HK,,KYG3774X1088,,,3800,Common Stock,ODSH,,GCL Technology Holdings Ltd,,HKD,HK,KY,,,,,HKG,0,26920820000,26920820000,0,26920820000,26920820000,26920818973,26920818973,26542451000,26920820000,20076660000,0,26920820000,26920820000,26920820000,26920820000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13418917,GCL Technology Holdings Ltd,,,,,,,,,,,,,,,
KYG9829N1025 CN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU1598757687 LU,,LU1598757687,,,ARRD,Common Stock,ODSH,,ArcelorMittal SA,,EUR,DE,LU,,,,,GER,0,852809800,852809800,0,852809800,852809800,852809772,852809772,0,852810000,452902700,0,852810000,852810000,852810000,852810000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225547,ArcelorMittal SA,,,,,,,,,,,,,,,
NL0009434992 GB,,NL0009434992,,,DLY,Common Stock,ODSH,,LyondellBasell Industries NV,,EUR,DE,NL,,,,,STU,0,324756800,324756800,0,324756800,324756800,324756819,324756819,0,324757000,258604800,0,324757000,324757000,324757000,324757000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9932803,LyondellBasell Industries NV,,,,,,,,,,,,,,,
NL0013267909 NL,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO0005052605 NO,,NO0005052605,,,NHY,Common Stock,ODSH,,Norsk Hydro ASA,,NOK,NO,NO,,,,,OSL,0,2009016000,2038176000,29160000,2038176000,2009016000,2009015998,2009015998,2029081000,2009016000,1296094000,29160000,2038176000,2009016000,2038176000,2009016000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101079,Norsk Hydro ASA,,,,,,,,,,,,,,,
NO0010096985 NO,,NO0010096985,,,EQNR,Common Stock,ODSH,,Equinor ASA,,NOK,NO,NO,,,,,OSL,0,2792781000,2851151000,58370000,2851151000,2792781000,2792781230,2792781230,3027000000,2792781000,754823200,58370000,2851151000,2792781000,2851151000,2792781000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182074,Equinor ASA,,,,,,,,,,,,,,,
NO0010345853 NO,,NO0010345853,,,AKRBP,Common Stock,ODSH,,Aker BP ASA,,NOK,NO,NO,,,,,OSL,0,632022200,632022200,0,632022200,632022200,632022210,632022210,631311000,632022000,405567900,0,632022000,632022000,632022000,632022000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11379990,Aker BP ASA,,,,,,,,,,,,,,,
NO0011202772 NO,,NO0011202772,,,VAR,Common Stock,ODSH,,Var Energi ASA,,NOK,NO,NO,,,,,OSL,0,2496406000,2496406000,0,2496406000,2496406000,2496406246,2496406246,2496406000,2496406000,868761300,0,2496406000,2496406000,2496406000,2496406000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62705068,Var Energi ASA,,,,,,,,,,,,,,,
SE0000171100 SE,,SE0000171100,,,SSABA,Common Stock,ODSH,,SSAB AB,,CHF,CH,SE,,,,,BRN,0,996617700,996617700,0,996617700,996617700,366031463,366031463,0,295966000,204894700,0,295966000,295966000,295966000,295966000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118008,SSAB AB,,,,,,,,,,,,,,,
SE0020050417 SE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US0126531013 US,,US0126531013,,012653101,ALB,Common Stock,ODSH,,Albemarle Corp,,USD,US,US,,,,,NYS,0,117540300,117540300,0,117540300,117540300,117540339,117540339,117766000,117540000,117062400,0,117540000,117540000,117540000,117540000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132242,Albemarle Corp,,,,,,,,,,,,,,,
US0138721065 US,,US0138721065,,013872106,AA,Common Stock,ODSH,,Alcoa Corp,,USD,US,US,,,,,NYS,0,258354800,258354800,0,258354800,258354800,258354828,258354828,178311000,258355000,256239899,0,258355000,258355000,258355000,258355000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47375937,Alcoa Corp,,,,,,,,,,,,,,,
US0886061086 AU,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
