RuleId,RootId,PrevId,SysID,RuleCode,StockExchangeId,DisclosureLevelId,RepEntityId,EntityId,RuleBasisId,RuleTypeId,RuleCategoryId,RuleNumeratorTypeId,TriggerRate,TriggerMin,TriggerMax,MinLong,MinCap,RateNumerator,RateDenominator,IndustryGroupId,SpecialConditionId,TransactionalReportFlag,Remark,RuleStateId,ApprovedDate,LastRejectedDT,LastRejectedBy,ReviewComment,EffectiveDate,Active,CreatedDT,CreatedBy,ModifiedDT,ModifiedBy,CountryCode,UploadRuleFileId
,,,ES0018,ESSSN001,,2,1,,1,1,4,1,0.0010,0.0010,1.0000,,,0.1,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0019,ESSSN002,,2,1,,1,21,4,1,0.0010,0.0010,1.0000,,,0.1,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0020,ESSSN003,,2,1,,1,51,4,1,0.0010,0.0000,0.0010,,,0.1,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0021,ESSSN004,,2,1,,1,1,4,1,0.0050,0.0050,1.0000,,,0.5,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0022,ESSSN005,,2,1,,1,21,4,1,0.0010,0.0050,1.0000,,,0.1,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0023,ESSSN006,,2,1,,1,51,4,1,0.0050,0.0000,0.0050,,,0.5,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,FR001,FRSSD001,,1,1,,1,1,1,1,0.0500,0.0500,1.0000,,,5,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR002,FRSSD002,,1,1,,1,22,1,1,0.1000,0.0500,0.1500,,,10,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR003,FRSSD003,,1,1,,1,22,1,1,0.1500,0.1000,0.2000,,,15,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR004,FRSSD004,,1,1,,1,22,1,1,0.2000,0.1500,0.2500,,,20,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
